Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-05;09:13;;;86;94;;;23.1;46
2017-06-05;09:13;;;91;;;;;45.4
2017-06-05;09:15;;;;81;;;;
2017-06-05;09:18;;;;100;;;;47.8
2017-06-05;09:18;;;;;;;23.1;46
2017-06-05;09:21;;;91;;;;23.2;47.8
2017-06-05;09:23;;;;100;;;23.3;46.6
2017-06-05;09:24;;;;97;;;;50.3
2017-06-05;09:27;;;91;90;;;23.4;46
2017-06-05;09:28;;;100;97;;;23.7;45.4
2017-06-05;09:28;;;;;;;23.8;44.8
2017-06-05;09:30;;;;;;;;44.2
2017-06-05;09:33;;;100;97;;;24.1;44.9
2017-06-05;09:33;;;;;;;;44.2
2017-06-05;09:36;;;;94;;;24.4;44.3
2017-06-05;09:38;;;100;97;;;24.5;
2017-06-05;09:39;;;;94;;;24.6;
2017-06-05;09:43;;;;;;;24.7;43.7
2017-06-05;09:43;;;100;;;;;
2017-06-05;09:48;;;100;94;;;24.8;43.7
2017-06-05;09:52;;;;;;;;43.1
2017-06-05;09:53;;;100;94;;;24.7;43.7
2017-06-05;09:57;;;;97;;;24.6;
2017-06-05;09:58;;;100;;;;;43.7
2017-06-05;10:00;;;;94;;;;
2017-06-05;10:03;;;100;;;;24.5;44.3
2017-06-05;10:04;;;;97;;;;
2017-06-05;10:07;;;;94;;;;
2017-06-05;10:08;;;100;;;;24.5;45.5
2017-06-05;10:10;;;;;;;;44.9
2017-06-05;10:13;;;;94;;;24.4;44.3
2017-06-05;10:13;;;100;97;;;;44.9
2017-06-05;10:18;;;100;97;;;24.4;44.9
2017-06-05;10:18;;;;100;;;;
2017-06-05;10:21;;;;97;;;24.3;45.5
2017-06-05;10:23;;;100;94;;;;
2017-06-05;10:28;;;;97;;;24.2;44.9
2017-06-05;10:28;;;100;94;;;;46.1
2017-06-05;10:31;;;;97;;;24.1;
2017-06-05;10:33;;;100;;;;;45.5
2017-06-05;10:37;;;;94;;;24.1;
2017-06-05;10:38;;;100;;;;;45.5
2017-06-05;10:43;;;100;94;;;24;45.5
2017-06-05;10:48;;;100;94;;;23.8;46.7
2017-06-05;10:49;;;;;;;;46
2017-06-05;10:53;;;100;94;;;23.6;46.6
2017-06-05;10:55;;;;97;;;;
2017-06-05;10:58;;;;;;;23.5;
2017-06-05;10:58;;;100;;;;;46.6
2017-06-05;11:03;;;;97;;;;
2017-06-05;11:03;;;100;;;;23.5;47.2
2017-06-05;11:08;;;100;97;;;23.4;46.6
2017-06-05;11:13;;;100;97;;;23.3;47.2
2017-06-05;11:18;;;100;100;;;23.3;47.2
2017-06-05;11:19;;;;97;;;;46.6
2017-06-05;11:23;;;100;94;;;23.3;
2017-06-05;11:26;;;;97;;;;46.6
2017-06-05;11:28;;;100;;;;23.3;
2017-06-05;11:33;;;97;97;;;23.3;46.6
2017-06-05;11:38;;;97;97;;;23.3;47.2
2017-06-05;11:43;;;97;97;;;23.3;46.6
2017-06-05;11:44;;;;;;;;46
2017-06-05;11:47;;;;;;;23.4;46.6
2017-06-05;11:48;;;97;97;;;;46
2017-06-05;11:51;;;;;;;;46.6
2017-06-05;11:53;;;97;97;;;23.3;46
2017-06-05;11:54;;;;;;;23.4;46.6
2017-06-05;11:56;;;;94;;;;
2017-06-05;11:58;;;97;97;;;23.5;
2017-06-05;11:59;;;;94;;;23.4;46
2017-06-05;12:03;;;97;;;;23.5;
2017-06-05;12:08;;;97;94;;;23.4;46.6
2017-06-05;12:11;;;;97;;;;
2017-06-05;12:13;;;;94;;;;
2017-06-05;12:13;;;94;;;;23.4;46
2017-06-05;12:16;;;97;97;;;;46.6
2017-06-05;12:18;;;;;;;23.4;46
2017-06-05;12:20;;;94;94;;;23.5;
2017-06-05;12:23;;;97;;;;23.4;46
2017-06-05;12:23;;;94;;;;;45.4
2017-06-05;12:28;;;;97;;;23.5;
2017-06-05;12:29;;;94;;;;;46
2017-06-05;12:33;;;;97;;;23.5;
2017-06-05;12:35;;;94;;;;;45.4
2017-06-05;12:38;;;;97;;;23.5;46
2017-06-05;12:38;;;;94;;;;
2017-06-05;12:43;;;94;;;;;45.4
2017-06-05;12:43;;;100;;;;23.5;
2017-06-05;12:46;;;;94;;;23.8;44.8
2017-06-05;12:48;;;;;;;24.1;44.2
2017-06-05;12:49;;;100;97;;;24.3;44.3
2017-06-05;12:52;;;;;;;24.5;
2017-06-05;12:53;;;;;;;;43.7
2017-06-05;12:55;;;100;100;;;24.6;
2017-06-05;12:58;;;;97;;;24.7;42.5
2017-06-05;12:59;;;;;;;24.8;43.1
2017-06-05;13:03;;;100;97;;;;
2017-06-05;13:08;;;100;97;;;24.8;43.1
2017-06-05;13:12;;;;;;;24.7;
2017-06-05;13:13;;;100;97;;;;43.1
2017-06-05;13:13;;;;;;;;42.5
2017-06-05;13:17;;;;94;;;24.6;42.4
2017-06-05;13:18;;;100;;;;;43.1
2017-06-05;13:22;;;;97;;;24.5;
2017-06-05;13:23;;;100;;;;24.6;43.1
2017-06-05;13:27;;;;97;;;24.5;
2017-06-05;13:28;;;100;;;;;43.1
2017-06-05;13:31;;;;;;;;43.7
